objeto,denominacao_objeto,classificacao
21981626,BAIXA DE MATERIAL - AMV 92,MATERIAIS
21984696,BAIXA DE MATERIAL - AMV 138,MATERIAIS
21984746,BAIXA DE MATERIAL - AMV- 94,MATERIAIS
21984923,BAIXA DE MATERIAL,MATERIAIS
21984942,BAIXA DE MATERIAL,MATERIAIS
21997354,BAIXA DE MATERIAL - AMVs,MATERIAIS
21997461,BAIXA DE MATERIAL - AMVs,MATERIAIS
21997465,BAIXA DE MATERIAL,MATERIAIS
22074632,Baixa de Material,MATERIAIS
22074937,Baixa de Material,MATERIAIS
22075282,Baixa de Material,MATERIAIS
22075294,Baixa de Material,MATERIAIS
22075304,Baixa de Material - AMV,MATERIAIS
22077309,Baixa de Material - AMV,MATERIAIS
22077366,Baixa de Material - AMV,MATERIAIS
22077396,Baixa de Material - AMV,MATERIAIS
22077482,Baixa de Material - AMV,MATERIAIS
22077641,Baixa de Material - AMV,MATERIAIS
22085673,Baixa de Material - AMV,MATERIAIS
22085688,Baixa de Material - AMV,MATERIAIS
22116935,Baixa de Material - Areais,MATERIAIS
22117005,Baixa de Material - Areais,MATERIAIS
22117021,Baixa de Material - Areais,MATERIAIS
22117027,Baixa de Material - Areais,MATERIAIS
22119883,Baixa de Material - Areais,MATERIAIS
22136649,Baixa de Material - Trilho - Areais,MATERIAIS
22160464,Baixa de Material - Areais,MATERIAIS
22163478,Baixa de Material - AMV,MATERIAIS
22163514,Baixa de Material - AMV,MATERIAIS
22163861,Baixa de Material - Interdição -Brita,MATERIAIS
22204234,Baixa de Material - Interdição,MATERIAIS
22204255,Baixa de Material - Interdição,MATERIAIS
22204276,Baixa de Material - Interdição,MATERIAIS
22212862,Baixa de Material - AMV,MATERIAIS
22212896,Baixa de Material - AMV,MATERIAIS
22212978,Baixa de Material - Solda,MATERIAIS
22213626,Baixa de Material - Interdição,MATERIAIS
22213659,Baixa de Material - AMV,MATERIAIS
22213672,Baixa de Material - Interdição,MATERIAIS
22213690,Baixa de Material - Interdição - Brita,MATERIAIS
22216695,Baixa de Material - Dormente Pombinho,MATERIAIS
22221762,OS para Baixa de Materiais,MATERIAIS
22222412,OS para Baixa de Materiais,MATERIAIS
22222544,OS para Baixa de Materiais,MATERIAIS
22222816,OS para Baixa de Materiais,MATERIAIS
22227599,Baixa de Material - Trilho,MATERIAIS
22227611,Baixa Materiais - Pombinho,MATERIAIS
22227617,Baixa Material - Pombinho,MATERIAIS
22232760,Baixa de AMV - 30AN,MATERIAIS
22232887,Baixa materiais do AMV 30AN,MATERIAIS
22238566,OS para Baixa de Materiais,MATERIAIS
22239410,BAIXA DE DORMENTE DE REEMPREGO,MATERIAIS
22239439,BAIXA DE DORMENTE DE REEMPREGO,MATERIAIS
22239442,BAIXA DE DORMENTE DE REEMPREGO,MATERIAIS
22239446,BAIXA DE DORMENTE DE REEMPREGO,MATERIAIS
22239512,BAIXA DE DORMENTE DE REEMPREGO,MATERIAIS
22239553,BAIXA DE DORMENTE DE REEMPREGO,MATERIAIS
22239563,BAIXA DE DORMENTE DE REEMPREGO,MATERIAIS
22267046,Baixa de Material - Dormente polímero,MATERIAIS
22304493,Baixa de Materiais - Solda - ZPG,MATERIAIS
22309242,Baixa de Materiais - Dormentes,MATERIAIS
22311711,Baixa de Material - Britas,MATERIAIS
22311719,Baixa de Material - Trilho,MATERIAIS
22311762,Baixa de Material - AMV 48S,MATERIAIS
22311936,Baixa de Material - AMV 48S (2),MATERIAIS
22312110,Baixa de Material - AMV CM10,MATERIAIS
22312559,Baixa de Material - Dormente Polímero,MATERIAIS
22315426,Baixa de Material - Ilha Barnabé,MATERIAIS
22319299,Baixa de Material - IBA,MATERIAIS
22319528,Baixa de Material - AMV 34N,MATERIAIS
22319829,Baixa de Material - ZPG,MATERIAIS
22319840,Baixa de Material - ZPG - Britas,MATERIAIS
22319874,Baixa de Material - IBA - Brita,MATERIAIS
22352231,OS para Baixa de Materiais Baixada Santi,MATERIAIS
22363258,Baixa de Material - DORMENTE CITRIODORA,MATERIAIS
22363265,Baixa de Material - Trilhos IRS,MATERIAIS
22363271,Baixa de Material - Dormentes IRS,MATERIAIS
22363275,Baixa de Material - Britas IRS,MATERIAIS
22363277,Baixa de Material - Trilhos IUF,MATERIAIS
22363294,Baixa de Material - Dormentes IUF,MATERIAIS
22363295,Baixa de Material - Britas IUF,MATERIAIS
22366174,Baixa de Material AMV 30S,MATERIAIS
22366211,Baixa de Material AMV 48N,MATERIAIS
22391045,Baixa de Material - Dormentes,MATERIAIS
22391059,Baixa de Material - Trilho,MATERIAIS
22399692,Baixa de Material AMV 48N,MATERIAIS
22439353,BAIXA DE MATERIAL  -  IUF - L2,MATERIAIS
22439357,BAIXA DE MATERIAL  -  IUF - L2,MATERIAIS
22439367,BAIXA DE MATERIAL  -  IUF - L2,MATERIAIS
22439378,BAIXA DE MATERIAL - IRS - L2 - L4 - L11,MATERIAIS
22439380,BAIXA DE MATERIAL - IRS - L2 - L4 - L11,MATERIAIS
22439387,BAIXA DE MATERIAL - IRS - L2 - L4 - L11,MATERIAIS
22441699,BAIXA DE MATERIAL IRS - L2 - L4 - L11,MATERIAIS
22441709,BAIXA DE MATERIAL - IUF - L2,MATERIAIS
22441988,BAIXA DE MATERIAL -  IRS - L2 - L4 - L11,MATERIAIS
22442194,BAIXA DE MATERIAL - IUF - L2,MATERIAIS
22442231,BAIXA DE MATERIAL - AMV 80 - IPG,MATERIAIS
22463700,BAIXA DE MATERIAL - AMV 80,MATERIAIS
22463873,BAIXA DE MATERIAL - AMV 80,MATERIAIS
22463927,BAIXA DE MATERIAL - AMV  34S,MATERIAIS
22464027,BAIXA DE MATERIAL - AMV 30N,MATERIAIS
22464096,BAIXA DE MATERIAL - AMV 84N,MATERIAIS
22466813,BAIXA DE MATERIAL - DIF,MATERIAIS
22466817,BAIXA DE MATERIAL - DIF,MATERIAIS
22466837,BAIXA DE MATERIAL - AMV 84N,MATERIAIS
22466878,BAIXA DE MATERIAL - AMV 32S,MATERIAIS
22466944,BAIXA DE MATERIAL - AMV 32S,MATERIAIS
22467002,BAIXA DE MATERIAL - AMV 84N,MATERIAIS
22467011,BAIXA DE MATERIAL - AMV 30N,MATERIAIS
22467239,OS para Baixa de Materiais,MATERIAIS
22473780,BAIXA DE MATERIAL - AMV 112,MATERIAIS
22473832,BAIXA DE MATERIAL - AMV CM5,MATERIAIS
22477936,BAIXA DE MATERIAL - AMV CM5,MATERIAIS
22499944,Baixa materiais - Viaduto Aparecida,SERVIÇOS
22514358,Baixa de Trilhos - TIPs,MATERIAIS
22514369,Baixa de Trilhos - ISN,MATERIAIS
22514371,Baixa de Trilhos - IRS,MATERIAIS
22514375,Baixa de Trilhos - ICZ,MATERIAIS
22517129,1º BAIXA LASTRO PINDAMONHANGABA,MATERIAIS
22517149,1ª BAIXA DORMENTES DE AÇO PINDA,MATERIAIS
22524679,"Baixa de Material IRS - L3, L7 e L9 - TR",MATERIAIS
22530322,"Baixa de Material IRS - L3, L7 e L9 - DR",MATERIAIS
22530323,"Baixa de Material IRS - L3, L7 e L9 - BR",MATERIAIS
22543522,Baixa AMV 84S - D1E - 1:10 - IUF - MISTO,MATERIAIS
22543580,Baixa AMV 105 - D1E - 1:10 - IAA - MISTO,MATERIAIS
22548463,Baixa Diferença Abril - IRS,MATERIAIS
22548466,Baixa Diferença Abril - IRS - 2,MATERIAIS
22548469,Baixa Diferença Abril - IPG,MATERIAIS
22548471,Baixa Diferença Abril - IPG - 2,MATERIAIS
22548651,Baixa material - Diferença  Dormente IRS,MATERIAIS
22554029,Baixa material - Diferença  Dormente IPG,MATERIAIS
22559590,"Baixa de Material - Prainha - 1,4KM - DO",MATERIAIS
22559605,"Baixa de Material Prainha 1,4KM Brita",MATERIAIS
22559731,"Baixa de Material Prainha 1,4KM Trilho",MATERIAIS
22560395,BAIXA DE TRILHO - PINDAMONHANGABA,MATERIAIS
22560834,"BAIXA 2 AMVS (331+270,79 E 333+187,391)",MATERIAIS
22561586,BAIXA DE TRILHO,MATERIAIS
22561603,Baixa de Material Prainha AMV 4 D1E,MATERIAIS
22561656,BAIXA AMV 06,MATERIAIS
22561707,BAIXA AMV 01,MATERIAIS
22567983,BAIXA DE LASTRO - INFRA,MATERIAIS
22586510,Baixa de Solda - IPG,MATERIAIS
22589995,Baixa materiais - Interf. Areais EE,SERVIÇOS
22590080,Baixa materiais - Interf. Campo Grande,SERVIÇOS
22596606,Baixa de Solda - IAA - IPG,MATERIAIS
22596610,Baixa de Solda - ICB,MATERIAIS
22596615,Baixa de Solda - IUF,MATERIAIS
22596618,Baixa Soldas - IPG - IAA,MATERIAIS
22596641,Baixa Soldas - ICB - IQA,MATERIAIS
22596644,Baixa Soldas - IRS,MATERIAIS
22596646,"Baixa Material Brita - IRS - L: 1, 2, 5",MATERIAIS
22596650,"Baixa Material Solda - IRS - L: 1, 2, 5",MATERIAIS
22596657,"Baixa Material Dormente -IRS- L: 1, 2, 5",MATERIAIS
22602704,REALOCAÇÃO LUBRIFICAÇÃO SP 2025,SERVIÇOS
22607407,Baixa Maio - Diferença,MATERIAIS
22607413,Baixa Maio - Diferença 2,MATERIAIS
22607416,BAIXA DE TRILHO -,MATERIAIS
22607419,"BAIXA 2 AMVS (331+270,79 E 333+187,391)",MATERIAIS
22607498,Baixa de Material - AMV 5 - IAA,MATERIAIS
22610202,BAIXA DE MATERIAL PINDA,MATERIAIS
22620054,OS para Baixa de Materiais,MATERIAIS
22632447,"Baixa de Material IRS L 1, 2, 5  Arruela",MATERIAIS
