objeto,denominacao_objeto,classificacao
23184430,AMV 174_simples 1:10,MATERIAIS
23192993,AMV 103 misto 1:10,MATERIAIS
23193225,AMV 33 misto 1:10,MATERIAIS
23193237,AMV 21 misto 1:10,MATERIAIS
23193293,"blocos fevereiro 2026 - 1,38 L6 IPG",MATERIAIS
23193299,AMV 3 misto 1:14 Jurubatuba,MATERIAIS
23197089,"bloco dezembro - 2,26 Km - L14 ISN",MATERIAIS
23197433,Acerto estoque fisico x sistema_AMV & co,MATERIAIS
23197868,"blocos fevereiro 2026 - 0,3 L16 IPG larg",MATERIAIS
23197871,"blocos fevereiro 2026 - 2,89 L6 ISN larg",MATERIAIS
23197974,"blocos março 2026 - 0,3 L16 IPG larga",MATERIAIS
23206347,AMV 22N misto 1:14,MATERIAIS
23206391,AMV 24N misto 1:!4,MATERIAIS
23206497,AMV 22S misto 1:14,MATERIAIS
23206637,baixa trilho chinês_meta 2025 + meta fev,MATERIAIS
23206669,SOLDA ALUMINOTÉRMICA,SERVIÇOS
23210532,AMV 4 misto 1:14 jurubatuba,MATERIAIS
23210659,AMV simples 1:10 Campo Grande,MATERIAIS
23211928,"Fisico x sistema 100%, final obra",MATERIAIS
23211933,"Fisico x sistema 100%, final obra",MATERIAIS
23211936,"Fisico x sistema 100%, final obra",MATERIAIS
23286589,Baixa materiais EE - SIN Campo Grande,MATERIAIS
23286976,"blocos março 2026 - 3,25 L1 IFA - MF-RFA",MATERIAIS
23292969,AMV 22 misto 1:10,MATERIAIS
23293192,AMV 5P simples 1:10,MATERIAIS
23293395,bloco dezembro trilho isn,MATERIAIS
23293447,bloco dezembro trilho ipg,MATERIAIS
23293496,bloco janeiro trilho,MATERIAIS
23293660,bloco janeiro brita,MATERIAIS
23297734,Lastro Aparecida,MATERIAIS
23353074,Ajuste de estoque conforme sobras física,MATERIAIS
23360161,Acerto estoque fisico x sistema_CG lastr,MATERIAIS
23360468,Ajuste de estoque conforme sobras física,MATERIAIS
23360624,AMVs 27P e 16P_simples 1:10,MATERIAIS
23364991,AMV 3P misto 1:10,MATERIAIS
23365028,AMV 5 misto 1:10,MATERIAIS
23365096,"Bloco abril - demanda 2.0 - 0,55 Km IFA",MATERIAIS
23365939,"Bloco abril - demanda 2.0 - 0,45 Km L13",MATERIAIS
23366463,"Bloco abril - demanda 2.0 - 0,37 Km ICZ",MATERIAIS
23366465,Bloco abril - demanda 2.0 - IFA + ICZ,MATERIAIS
23366467,Bloco abril - demanda 2.0 - IPG,MATERIAIS
23366470,"Bloco maio - demanda 2.0 - 0,55 Km IFA",MATERIAIS
23366475,"Bloco maio - demanda 2.0 - 0,37 Km ICZ",MATERIAIS
23368011,"Bloco maio - demanda 2.0 - 1,05 Km L6 IP",MATERIAIS
23368013,"Bloco maio - demanda 2.0 - 1,05 Km L6 IP",MATERIAIS
23368014,Bloco maio - demanda 2.0 - IFA + ICZ,MATERIAIS
23368015,"Bloco maio - demanda 2.0 - 0,22 de 0,3 K",MATERIAIS
23368016,"Bloco maio - demanda 2.0 - 0,22 de 0,3 L",MATERIAIS
23368018,JICs Fevereiro+Março+Abril 2026,MATERIAIS
23387574,Reajuste PRUMO período de abril a novemb,SERVIÇOS
23397277,"Bloco junho - demanda 2.0 - 1,2 L2 IQA/I",MATERIAIS
23397424,bloco fevereiro brita,MATERIAIS
23397428,bloco 2.0 março brita,MATERIAIS
23406487,Baixa dos carregadores dos rádios!,SERVIÇOS
23416410,AMV 218_misto 1:10,MATERIAIS
23416650,AMVs 222 e 224_misto 1:10 E1E,MATERIAIS
23426359,Blocos Jurubatuba 11/2025,MATERIAIS
23426560,Blocos Jurubatuba 12/2025,MATERIAIS
23428933,AMV 101 misto 1:14,MATERIAIS
23429003,"AMVs 202, 200 e 210 simples 1:10",MATERIAIS
23446145,AMV 172 simples 1:10,MATERIAIS
23446198,AMV X2 misto 1:10,MATERIAIS
23464555,BDA 078 - PN OSCARLINO M. TEIXEIRA,SERVIÇOS
23505033,SOLDA BOM JIC,SERVIÇOS
23518313,AMV 214 simples 1:10,MATERIAIS
23518315,AMV 212 simples 1:10,MATERIAIS
23518317,AMV 216 simples 1:10,MATERIAIS
23518318,AMV 220 simples 1:10,MATERIAIS
23521370,pendência da barra extra pega com a manu,MATERIAIS
23522332,AMV X3 simples 1:14,MATERIAIS
23525838,"Bloco junho - demanda 2.0 - 0,9 L1 JUB",MATERIAIS
23525920,"Bloco junho - demanda 2.0 - 0,55 IFA",MATERIAIS
23526167,"Bloco julho - demanda 2.0 - 0,9 L1 JUB",MATERIAIS
23526249,"Bloco julho - demanda 2.0 - 0,55 IFA",MATERIAIS
23526254,"Bloco julho - demanda 2.0 - 0,2 L1 Usimi",MATERIAIS
23526552,AMVs 1 e 2 mistos 1:14 + jacaré D1D para,MATERIAIS
23530031,Baixa de Material EE - Campo Grande,MATERIAIS
23530346,AMV 1 misto 1:14 Jurubatuba,MATERIAIS
23536661,R721 SUBSTITUIÇÃO DE JIC 05/05,SERVIÇOS
23540774,BDA 139 - PN LIGAÇÃO ESTRADA CIDADE ALTA,SERVIÇOS
23591185,AMV 82 1:10 E1D,MATERIAIS
23595219,AMV 38N 1:10 E1D,MATERIAIS
23595351,AMV 40S 1:10 D1E,MATERIAIS
23595581,AMV 3 1:14 D1E,MATERIAIS
23595788,AMV 103 1:14 E1E,MATERIAIS
23598923,AMV 2 1:14 D1D Jurubatuba,MATERIAIS
23599909,AMV 60 E1D 1:14 + jacaré E1E,MATERIAIS
23601976,AMV 70 E1E 1:10,MATERIAIS
23602357,AMV 40N D1D 1:10,MATERIAIS
23602431,AMV 128 simples 1:14,MATERIAIS
23602500,Baixa de Material - Pátio de Lorena,MATERIAIS
23602608,AMV 130 simples 1:14,MATERIAIS
23605588,AMV 132 simples 1:14,MATERIAIS
23605624,AMV 160 simples 1:10,MATERIAIS
23605663,AMV 162 simples 1:10,MATERIAIS
23605765,AMV 164 simples 1:10,MATERIAIS
23605973,AMV 166 simples 1:10,MATERIAIS
23606514,AMV 170 simples 1:10,MATERIAIS
23606531,AMV 168 simples 1:10,MATERIAIS
23606554,AMV 154N simples 1:10,MATERIAIS
23606686,AMV 154S simples 1:10,MATERIAIS
23606708,"Bloco julho - demanda 2.0 - 1,2 L4 Santo",MATERIAIS
23606717,"Bloco julho - demanda 2.0 -  0,9 JUR",MATERIAIS
23610216,Bloco abril - demanda 2.0 - brita,MATERIAIS
23610241,Bloco maio - demanda 2.0 - brita,MATERIAIS
23610242,AMVs 198 e 200 simples 1:10,MATERIAIS
23615786,BAIXA DE LASTRO INFRA,MATERIAIS
23617575,BAIXA LASTRO INFRA,MATERIAIS
23627052,BDA 167 - PN LIGAÇÃO ESTRADA CIDADE ALTA,SERVIÇOS
23674324,Ajuste de baixa conforme aplicação no tr,MATERIAIS
23676484,Bloco junho - demanda 2.0 - trilho+solda,MATERIAIS
23676546,Ajuste de baixas com foco no PEP de Tril,MATERIAIS
23681702,Pombinho P4 - remodelação,MATERIAIS
23681718,ATV - Remodelação,MATERIAIS
23681838,Ajuste de baixa - pendência,MATERIAIS
23681925,Ajuste de baixas com foco no PEP de AMVs,MATERIAIS
23685083,BDA 230 - PN KM287+300,SERVIÇOS
23685090,BDA 229 - PN KM287+300,SERVIÇOS
23685108,BDA 228 - PN KM287+300,SERVIÇOS
23685734,Baixa de lastro Infra,MATERIAIS
23685741,Baixa de lastro Infra,MATERIAIS
23685786,Bloco junho - demanda 2.0 - brita,MATERIAIS
23685787,Ajuste de baixa,MATERIAIS
23688871,BDA 232 - PN KM287+300,SERVIÇOS
23722597,BAIXA LASTRO INFRA,MATERIAIS
23722609,BAIXA LASTRO INFRA,MATERIAIS
23736310,BAIXA DE LASTRO INFRA,MATERIAIS
5000084 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000084 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000100 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000100 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000100 0030,CTCFE067,CUSTOS DO PROPRIETÁRIO
5000100 0040,CTCFE223,CUSTOS DO PROPRIETÁRIO
5000125 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000125 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000128 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000128 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000128 0030,CTCFE067,CUSTOS DO PROPRIETÁRIO
5000128 0040,CTCFE223,CUSTOS DO PROPRIETÁRIO
5000128 0050,CTCFE204,CUSTOS DO PROPRIETÁRIO
5000129 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000129 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000129 0030,CTCFE223,CUSTOS DO PROPRIETÁRIO
5000130 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000130 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000131 0010,IPTENG,CUSTOS DO PROPRIETÁRIO
5000131 0020,CTCFE223,CUSTOS DO PROPRIETÁRIO
5000131 0030,IPTSP,CUSTOS DO PROPRIETÁRIO
5000132 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000132 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000145 0010,IPTMGRJ,CUSTOS DO PROPRIETÁRIO
5000145 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000151 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000151 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000151 0030,CTCFE067,CUSTOS DO PROPRIETÁRIO
5000151 0040,CTCFE223,CUSTOS DO PROPRIETÁRIO
5000151 0050,CTCFE204,CUSTOS DO PROPRIETÁRIO
5000214 0010,IPTSMU,CUSTOS DO PROPRIETÁRIO
5000214 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000214 0030,IPTSMU,CUSTOS DO PROPRIETÁRIO
5000214 0040,CTCFE067,CUSTOS DO PROPRIETÁRIO
5000214 0050,IPTSP,CUSTOS DO PROPRIETÁRIO
5000295 0010,IPTSMU,CUSTOS DO PROPRIETÁRIO
5000295 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000295 0030,IPTSP,CUSTOS DO PROPRIETÁRIO
5000320 0010,IPTSMU,CUSTOS DO PROPRIETÁRIO
5000320 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000320 0030,IPTSP,CUSTOS DO PROPRIETÁRIO
5000354 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000354 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000355 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000355 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000356 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000356 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000360 0010,IPTSMU,CUSTOS DO PROPRIETÁRIO
5000360 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000360 0030,IPTSP,CUSTOS DO PROPRIETÁRIO
5000385 0010,IPTSMU,CUSTOS DO PROPRIETÁRIO
5000385 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000385 0040,IPTSP,CUSTOS DO PROPRIETÁRIO
5000385 0060,CTCFE224,CUSTOS DO PROPRIETÁRIO
5000386 0010,IPTSMU,CUSTOS DO PROPRIETÁRIO
5000386 0020,IPTSP,CUSTOS DO PROPRIETÁRIO
5000386 0030,IPTENG,CUSTOS DO PROPRIETÁRIO
5000388 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000388 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000388 0030,CTCFE223,CUSTOS DO PROPRIETÁRIO
5000400 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000400 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000400 0030,CTCFE067,CUSTOS DO PROPRIETÁRIO
5000400 0040,CTCFE204,CUSTOS DO PROPRIETÁRIO
5000420 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000420 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000461 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000461 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000461 0030,CTCFE067,CUSTOS DO PROPRIETÁRIO
5000461 0050,CTCFE204,CUSTOS DO PROPRIETÁRIO
5000502 0010,IPTSMU,CUSTOS DO PROPRIETÁRIO
5000502 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000502 0030,IPTSP,CUSTOS DO PROPRIETÁRIO
5000502 0040,CTCFE224,CUSTOS DO PROPRIETÁRIO
5000504 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000504 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000504 0030,CTCFE069,CUSTOS DO PROPRIETÁRIO
5000504 0050,CTCFE204,CUSTOS DO PROPRIETÁRIO
5000508 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000508 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000526 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000526 0020,CTCFE223,CUSTOS DO PROPRIETÁRIO
5000526 IP,IPTENG,CUSTOS DO PROPRIETÁRIO
5000544 0010,IPTSMU,CUSTOS DO PROPRIETÁRIO
5000544 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000544 0030,IPTSP,CUSTOS DO PROPRIETÁRIO
5000571 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000583 0010,IPTMGRJ,CUSTOS DO PROPRIETÁRIO
5000583 0020,IPTSMU,CUSTOS DO PROPRIETÁRIO
5000583 0030,IPTENG,CUSTOS DO PROPRIETÁRIO
5000583 0040,CTCFE224,CUSTOS DO PROPRIETÁRIO
5000645 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000664 0010,IPTMGRJ,CUSTOS DO PROPRIETÁRIO
5000664 0020,CTCFE223,CUSTOS DO PROPRIETÁRIO
5000664 0030,IPTSMU,CUSTOS DO PROPRIETÁRIO
5000664 0040,IPTENG,CUSTOS DO PROPRIETÁRIO
5000664 0050,CTCFE224,CUSTOS DO PROPRIETÁRIO
5000673 0010,IPTENG,CUSTOS DO PROPRIETÁRIO
5000720 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000720 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000720 0030,CTCFE067,CUSTOS DO PROPRIETÁRIO
5000720 0040,CTCFE204,CUSTOS DO PROPRIETÁRIO
5000721 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000721 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000721 0030,CTCFE067,CUSTOS DO PROPRIETÁRIO
5000721 0040,CTCFE204,CUSTOS DO PROPRIETÁRIO
5000722 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000722 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000722 0030,CTCFE067,CUSTOS DO PROPRIETÁRIO
5000723 0010,CTCFE204,CUSTOS DO PROPRIETÁRIO
5000723 0020,IPTSP,CUSTOS DO PROPRIETÁRIO
5000723 0040,IPTENG,CUSTOS DO PROPRIETÁRIO
5000723 0050,CTCFE067,CUSTOS DO PROPRIETÁRIO
5000766 0010,IPTMGRJ,CUSTOS DO PROPRIETÁRIO
5000766 0020,IPTSMU,CUSTOS DO PROPRIETÁRIO
5000766 0040,CTCFE223,CUSTOS DO PROPRIETÁRIO
5000788 0010,IPTSP,CUSTOS DO PROPRIETÁRIO
5000788 0020,IPTENG,CUSTOS DO PROPRIETÁRIO
5000788 0030,CTCFE223,CUSTOS DO PROPRIETÁRIO
5000789 0010,CTCFE224,CUSTOS DO PROPRIETÁRIO
DM/21973C-01,Mão de Obra,CUSTOS DO PROPRIETÁRIO
DM/21973C-02-02,9VIK05 - Pátio Jurubatuba,RATEIOS
DM/21973C-04-01,Projeto básico 2023,ENGENHARIA
DM/21973C-05-01,Projeto executivo 2023,ENGENHARIA
DM/21973C-05-02,Custos Indiretos 2023,INDIRETOS MRS
DM/21973C-05-03,SMA 2023,SMA
DM/21973C-06-01-01,Desapropriações,FUNDIÁRIO_RI_REGULATÓRIO
DM/21973C-06-04,AMVs,MATERIAIS
DM/21973C-06-06,Pátio Serviços de Execução,SERVIÇOS
DM/21973C-06-07,Gerenciamento / Fiscalização,INDIRETOS MRS
DM/21973C-06-08,Estoque - Obra,SERVIÇOS
DM/21973C-06-10,ATO (Apoio Técnico de Obra),INDIRETOS MRS
DM/21973C-06-11-01,Execução Superestrutura,SERVIÇOS
DM/21973C-06-14,Equipamentos de Suporte,EQUIPAMENTOS
DM/21973C-06-94,OE e Serviços,OWNER'S ENGINEERING
DM/21973C-80,Viagem,VIAGEM
DM/21973C-97,Provisão,CUSTOS DO PROPRIETÁRIO
DM/21973C-99-01,Capitalização de juros - IEA,CAPITALIZAÇÃO
DM/21974C-01,Mão de Obra,CUSTOS DO PROPRIETÁRIO
DM/21974C-05-01,Projeto executivo 2023,ENGENHARIA
DM/21974C-05-02,Custos Indiretos 2023,INDIRETOS MRS
DM/21974C-05-03,SMA 2023,SMA
DM/21974C-06-06,Pátio Serviços de Execução,SERVIÇOS
DM/21974C-06-07,Gerenciamento / Fiscalização,INDIRETOS MRS
DM/21974C-06-10,ATO (Apoio Técnico de Obra),INDIRETOS MRS
DM/21974C-06-11-01,Execução Superestrutura,SERVIÇOS
DM/21974C-06-12-02,Interferências EE,SERVIÇOS
DM/21974C-06-94,OE e Serviços,OWNER'S ENGINEERING
DM/21974C-80,Viagem,VIAGEM
DM/21974C-97,Provisão,CUSTOS DO PROPRIETÁRIO
DM/21974C-99-01-01,Capitalização de juros - IEA 2,CAPITALIZAÇÃO
DM/22611C-01,Mão de Obra,CUSTOS DO PROPRIETÁRIO
DM/22611C-03-01-01,INFRA_SUPER,ENGENHARIA
DM/22611C-04-01,SMA 2023,SMA
DM/22611C-05-01-01,INFRA_SUPER,ENGENHARIA
DM/22611C-05-94,OE e Serviços,OWNER'S ENGINEERING
DM/22611C-06-02-02,Interferências Terceiros,SERVIÇOS
DM/22611C-80,Viagem,VIAGEM
DM/22611C-99-01,Capitalização de juros - IEA,CAPITALIZAÇÃO
DM/22615C-03-01-01,INFRA_SUPER,ENGENHARIA
DM/22615C-04-01,SMA 2023,SMA
DM/22615C-05-01-01,INFRA_SUPER,ENGENHARIA
DM/22615C-06-02,Serviços de Execução,SERVIÇOS
DM/22615C-06-03,Gerenciamento / Fiscalização,INDIRETOS MRS
DM/22615C-80,Viagem,VIAGEM
DM/22616C-03-01,Projeto conceitual,ENGENHARIA
DM/22616C-04-01,SMA 2023,SMA
DM/22616C-05-01,Projeto executivo,ENGENHARIA
DM/22616C-05-94,OE e Serviços,OWNER'S ENGINEERING
DM/22616C-06-01,Serviços,SERVIÇOS
DM/22616C-06-03-01,Gerenciamento/Fiscalização,INDIRETOS MRS
DM/22616C-99-01,Capitalização de juros - IEA,CAPITALIZAÇÃO
DM/22620C-01,Mão de Obra,CUSTOS DO PROPRIETÁRIO
DM/22620C-03-01,Projeto conceitual,ENGENHARIA
DM/22620C-04-01,SMA 2023,SMA
DM/22620C-05-01,Projeto executivo,ENGENHARIA
DM/22620C-06-01,Serviços - Passarela km 345+183,SERVIÇOS
DM/22620C-06-02,Indiretos MRS,INDIRETOS MRS
DM/22620C-06-04,Compra dos Terrenos,FUNDIÁRIO_RI_REGULATÓRIO
DM/22620C-06-04-01,Desapropriações,FUNDIÁRIO_RI_REGULATÓRIO
DM/22620C-06-07,Serviços - Passarela km 343+408,SERVIÇOS
DM/22620C-06-08,Gerenciamento/Fiscalização,INDIRETOS MRS
DM/22620C-06-09-02,Interferências EE,SERVIÇOS
DM/22620C-06-09-02-01,Interferências EE - Passarela km 345+183,SERVIÇOS
DM/22620C-06-09-02-02,Interferências EE - Passarela km 343+408,SERVIÇOS
DM/22620C-80,Viagem,VIAGEM
DM/22620C-99-01,Capitalização de juros - IEA,CAPITALIZAÇÃO
DM/22631C-03-01,Projeto conceitual,ENGENHARIA
DM/22631C-04-01,SMA 2023,SMA
DM/22631C-05-01,Projeto executivo,ENGENHARIA
DM/22631C-05-94,OE e Serviços,OWNER'S ENGINEERING
DM/22631C-06-01,Serviços,SERVIÇOS
DM/22631C-06-07-02,Interferências EE,SERVIÇOS
DM/22631C-80,Viagem,VIAGEM
DM/22631C-99-01,Capitalização de juros - IEA,CAPITALIZAÇÃO
DM/22636C-06-01,Execução das Obras,SERVIÇOS
DM/22636C-06-02,Fiscalização / Gerenciamento,INDIRETOS MRS
DM/22639C-06-01,Execução das Obras,SERVIÇOS
DM/22639C-06-02,Fiscalização / Gerenciamento,INDIRETOS MRS
DM/22645C-01,Mão de Obra,CUSTOS DO PROPRIETÁRIO
DM/22645C-04-02,SMA 2023,SMA
DM/22645C-04-03,Diretos MRS 2023,ENGENHARIA
DM/22645C-05-01,Projeto executivo 2023,ENGENHARIA
DM/22645C-06-01,Compra dos terrenos 2023,FUNDIÁRIO_RI_REGULATÓRIO
DM/22645C-06-01-01,Desapropriações,FUNDIÁRIO_RI_REGULATÓRIO
DM/22645C-06-02,Indiretos MRS 2023,INDIRETOS MRS
DM/22645C-06-03,Serviços,SERVIÇOS
DM/22645C-06-04,Aquisição de itens IMOB/ZIMO - Rádios,SERVIÇOS
DM/22645C-06-07-01,Interferências Terceiros,SERVIÇOS
DM/22645C-06-07-02,Interferências EE,SERVIÇOS
DM/22645C-06-08-01,Gerenciamento/Fiscalização,INDIRETOS MRS
DM/22645C-06-94,OE e Serviços,OWNER'S ENGINEERING
DM/22645C-80,Viagem,VIAGEM
DM/22645C-97,Provisão,CUSTOS DO PROPRIETÁRIO
DM/22645C-99-01,Capitalização de juros - IEA,CAPITALIZAÇÃO
DM/22648C-05-01-01,INFRA_SUPER,ENGENHARIA
DM/22648C-06-01,Obras - Viaduto de Cubatão,SERVIÇOS
DM/22648C-06-04,SMA,SMA
DM/22648C-06-06,ATO (Apoio Técnico de Obra),INDIRETOS MRS
DM/22648C-06-07,Gerenciamento / Fiscalização,INDIRETOS MRS
DM/22648C-06-94,OE e Serviços,OWNER'S ENGINEERING
DM/22648C-99-01,Capitalização de Juros IEA,CAPITALIZAÇÃO
DM/22649C-03-01,Projeto conceitual,ENGENHARIA
DM/22649C-04-01,SMA 2023,SMA
DM/22649C-06-02-02,Interferências Terceiros,SERVIÇOS
DM/22649C-99-01,Capitalização de juros - IEA,CAPITALIZAÇÃO
DM/22650C-01,Mão de Obra,CUSTOS DO PROPRIETÁRIO
DM/22650C-03-01,Projeto conceitual,ENGENHARIA
DM/22650C-04-01,SMA 2023,SMA
DM/22650C-04-02,Projeto básico,ENGENHARIA
DM/22650C-04-03,Sondagem,ENGENHARIA
DM/22650C-04-94,OE e Serviços,OWNER'S ENGINEERING
DM/22650C-05-01,Projeto executivo,ENGENHARIA
DM/22650C-05-94,OE e Serviços,OWNER'S ENGINEERING
DM/22650C-06-02,Indiretos MRS,INDIRETOS MRS
DM/22650C-06-04,Compra dos Terrenos,FUNDIÁRIO_RI_REGULATÓRIO
DM/22650C-06-08-01,Interferências Terceiros,SERVIÇOS
DM/22650C-80,Viagem,VIAGEM
DM/22655C-03-01,Projeto conceitual,ENGENHARIA
DM/22655C-04-01,Projeto básico 2023,ENGENHARIA
DM/22655C-04-02,SMA 2023,SMA
DM/22655C-04-03,Diretos MRS 2023,ENGENHARIA
DM/22655C-05-01,Projeto executivo 2023,ENGENHARIA
DM/22655C-06-02,Indiretos MRS,INDIRETOS MRS
DM/22655C-06-03,Serviços,SERVIÇOS
DM/22655C-06-07-01,Gerenciamento/Fiscalização,INDIRETOS MRS
DM/22655C-06-08,Aquisição de itens IMOB/ZIMO - Rádios,SERVIÇOS
DM/22655C-06-94,OE e Serviços,OWNER'S ENGINEERING
DM/22655C-08,Pós projeto,SERVIÇOS
DM/22655C-80,Viagem,VIAGEM
DM/22655C-99-01,Capitalização de juros - IEA,CAPITALIZAÇÃO
DM/22657C-03-01,Projeto conceitual,ENGENHARIA
DM/22657C-04-02,Projeto básico,ENGENHARIA
DM/22657C-05-01,Projeto executivo,ENGENHARIA
DM/22657C-05-94,OE e Serviços,OWNER'S ENGINEERING
DM/22657C-06-04,Compra dos Terrenos,FUNDIÁRIO_RI_REGULATÓRIO
DM/22657C-80,Viagem,VIAGEM
DM/22658C-01,Mão de Obra,CUSTOS DO PROPRIETÁRIO
DM/22658C-02-01,9TL80H - Vdt S. André - Pátio,RATEIOS
DM/22658C-03-01,Projeto conceitual,ENGENHARIA
DM/22658C-04-01,SMA 2023,SMA
DM/22658C-05-01,Projeto executivo,ENGENHARIA
DM/22658C-06-01,Indiretos MRS 2023,INDIRETOS MRS
DM/22658C-06-02-02,Interferências Terceiros,SERVIÇOS
DM/22658C-06-04-01,Desapropriações,FUNDIÁRIO_RI_REGULATÓRIO
DM/22658C-06-07,Diretos MRS - Consultoria Reta,ENGENHARIA
DM/22658C-06-94,OE e Serviços,OWNER'S ENGINEERING
DM/22658C-80,Viagem,VIAGEM
DM/22658C-99-01,Capitalização de juros - IEA,CAPITALIZAÇÃO
DM/22667C-03-01,Projeto conceitual,ENGENHARIA
DM/22667C-04-01,Projeto básico 2023,ENGENHARIA
DM/22667C-04-02,SMA 2023,SMA
DM/22667C-05-01,Projeto executivo 2023,ENGENHARIA
DM/22667C-05-94,OE e Serviços,OWNER'S ENGINEERING
DM/22667C-06-01,Indiretos MRS 2023,INDIRETOS MRS
DM/22667C-06-06,Diretos MRS - Consultoria Reta,ENGENHARIA
DM/22667C-80,Viagem,VIAGEM
DM/22667C-99-01,Capitalização de juros - IEA,CAPITALIZAÇÃO
DM/23001C-06-02,Serviços de Execução,SERVIÇOS
DM/23001C-06-03,Gerenciamento / Fiscalização,INDIRETOS MRS
DM/23007C-05-01,Projeto executivo,ENGENHARIA
DM/23007C-06-01-01,"KM 297,596",SERVIÇOS
DM/23007C-06-01-02,"KM 298,031",SERVIÇOS
DM/23007C-06-04,Meio Ambiente,SMA
DM/23007C-80,Viagem,VIAGEM
DM/23008C-01,Mão de obra,CUSTOS DO PROPRIETÁRIO
DM/23008C-05-01,Projeto executivo,ENGENHARIA
DM/23008C-06-01,Serviços,SERVIÇOS
DM/23008C-06-02,Indiretos MRS,INDIRETOS MRS
DM/23008C-06-04,Meio Ambiente,SMA
DM/23008C-06-10,Interferências de Terceiros,SERVIÇOS
DM/23008C-80,Viagem,VIAGEM
DM/23037C-05-01,Projeto executivo,ENGENHARIA
DM/23037C-06-01,Serviços,SERVIÇOS
DM/23037C-06-01-01,"KM 292,244",SERVIÇOS
DM/23037C-06-01-02,"KM 293,252",SERVIÇOS
DM/23037C-06-01-03,"KM 293,316",SERVIÇOS
DM/23037C-06-01-04,"KM 293,403",SERVIÇOS
DM/23037C-06-01-05,"KM 293,810",SERVIÇOS
DM/23037C-06-02,Indiretos MRS,INDIRETOS MRS
DM/23037C-06-04,Meio Ambiente,SMA
DM/23037C-80,Viagem,VIAGEM
DM/23038C-05-01,Projeto executivo,ENGENHARIA
DM/23038C-06-01-01,"KM 286,38",SERVIÇOS
DM/23038C-06-01-02,"KM 286,823",SERVIÇOS
DM/23038C-06-01-03,"KM 289,187",SERVIÇOS
DM/23038C-06-01-04,"KM 291,14",SERVIÇOS
DM/23038C-06-02,Indiretos MRS,INDIRETOS MRS
DM/23038C-06-04,Meio Ambiente,SMA
DM/23038C-80,Viagem,VIAGEM
DM/23039C-01,Mão de obra,CUSTOS DO PROPRIETÁRIO
DM/23039C-05-01,Projeto executivo,ENGENHARIA
DM/23039C-06-01,Serviços,SERVIÇOS
DM/23039C-06-02,Indiretos MRS,INDIRETOS MRS
DM/23039C-06-04,Meio Ambiente,SMA
